ticket_id,company_id,company_size_cat,industry_cat,customer_tier_cat,org_users,region_cat,past_30d_tickets,past_90d_incidents,product_area_cat,booking_channel_cat,reported_by_role_cat,customers_affected,error_rate_pct,downtime_min,payment_impact_flag,security_incident_flag,data_loss_flag,has_runbook,customer_sentiment_cat,description_length,priority_cat,customer_sentiment_missing,company_size_Medium,company_size_Small,industry_fintech,industry_gaming,industry_healthcare,industry_logistics,industry_media,industry_saas_b2b,customer_tier_Enterprise,customer_tier_Plus,region_APAC,region_EMEA,product_area_auth,product_area_billing,product_area_data_pipeline,product_area_mobile,product_area_notifications,booking_channel_email,booking_channel_phone,booking_channel_web,reported_by_role_devops,reported_by_role_finance,reported_by_role_product_manager,reported_by_role_support,customer_sentiment_neutral,customer_sentiment_positive
1000000000,100015,1,7,1,126,3,2,0,3,1,1,2,5.451200538,6,0,0,0,0,2,227,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
1000000001,100023,1,5,1,101,1,2,3,5,3,3,24,2.495538315,2,0,0,0,0,2,461,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1000000002,100012,1,4,1,71,3,3,1,6,3,2,1,3.328401754,0,0,0,0,1,3,306,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1000000003,100003,1,7,2,100,1,2,2,5,3,4,25,2.931905845,16,0,0,0,1,2,363,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1000000004,100019,1,2,2,332,1,5,1,5,1,1,28,3.255221823,6,0,0,0,0,2,442,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1000000005,100022,2,3,3,596,2,3,3,1,2,1,74,0.538945288,13,0,0,0,1,2,349,2,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1000000006,100011,1,4,1,74,3,0,0,3,2,1,17,1.60158398,5,0,0,0,1,2,187,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1000000007,100008,1,7,1,82,3,1,3,1,1,4,10,2.789413784,0,0,0,0,1,2,299,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1000000008,100007,3,7,3,5757,1,6,2,5,3,4,171,0.973382072,3,0,0,0,0,2,432,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1000000009,100013,2,7,2,701,3,1,1,2,3,1,62,2.931220426,0,0,0,0,0,2,243,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1000000010,100011,1,4,1,74,3,3,2,3,2,1,4,7.888578491,0,0,0,0,1,2,237,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1000000011,100020,2,4,2,481,1,3,1,3,1,1,122,15.92510346,0,0,0,0,0,1,386,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1000000012,100007,3,7,3,5757,2,8,4,3,4,1,276,4.033129448,0,0,0,0,1,0,556,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
